Wall time,Step,Value
1701552395.7612774,11188,1.898899654406705e-06
1701552396.1332786,11204,1.8321941297472222e-06
1701552396.7152846,11229,3.09430015477119e-06
1701552397.168278,11248,1.7882806560010067e-06
1701552397.3992805,11257,1.2117334335925989e-06
1701552397.8342772,11275,1.8492797835278907e-06
1701552398.5012796,11302,1.8741739040706307e-06
1701552399.081279,11325,2.4494934223184828e-06
1701552399.1302812,11327,2.025256890192395e-06
1701552399.1552796,11328,1.9565000002330635e-06
1701552400.6297019,11387,4.010766588180559e-06
1701552400.7167034,11390,5.83548853683169e-06
1701552400.9537027,11399,4.740156782645499e-06
1701552401.9996998,11437,1.6223893908318132e-05
1701552403.2817006,11488,7.836420081730466e-06
1701552404.6876996,11546,1.5197410903056152e-06
1701552405.5626993,11582,9.786089094632189e-07
1701552405.956703,11599,1.0857197594305035e-06
1701552406.4397004,11619,6.567150308001146e-07
1701552407.1326988,11647,8.617018352197192e-07
1701552407.2096994,11650,4.888589728579973e-07
1701552407.387703,11657,3.6664741287495417e-07
1701552407.4407012,11659,5.555279471991525e-07
1701552407.8557,11676,6.072277756175026e-07
1701552408.0627136,11684,2.550238491494383e-07
1701552408.279701,11693,5.448454203360598e-07
1701552409.0307047,11724,4.593302094235696e-07
1701552409.978699,11763,7.402815072055091e-07
1701552410.2736993,11775,8.416204764216673e-07
1701552410.565708,11787,4.425897657256428e-07
1701552410.8497002,11798,2.7090194976153725e-07
1701552411.1927023,11812,3.442928857566585e-07
1701552411.2457018,11814,9.152502116194228e-07
1701552412.1276994,11850,5.821557920171472e-07
1701552412.9707,11886,6.544906909766723e-07
1701552413.6096995,11913,4.4158423406770453e-07
1701552413.9606988,11928,6.832049734839529e-07
1701552414.675701,11958,7.329586537707655e-07
1701552415.247701,11982,5.923141657149245e-07
1701552415.6807008,12000,9.024173550642445e-07
1701552416.4546986,12033,1.6346008351320052e-06
1701552417.1067078,12060,3.524748535710387e-06
1701552417.419699,12073,2.756404228421161e-06
1701552417.4646988,12075,3.310237616460654e-06
1701552417.959699,12096,5.397519998950884e-06
1701552418.0786994,12101,3.677555469039362e-06
1701552418.4177022,12115,9.620553100830875e-06
1701552418.6456995,12125,8.204353434848599e-06
1701552418.7636993,12130,3.6338294648885494e-06
1701552418.9337006,12137,5.510335995495552e-06
1701552419.3887007,12156,1.4876509339956101e-05
1701552419.6807,12168,2.936851615231717e-06
1701552422.0436993,12265,5.982098628010135e-06
1701552422.410699,12280,5.509555649041431e-06
1701552422.6766994,12291,3.913251475751167e-06
